name,ring,quadrant,isNew,description
Behaviour Driven Development (BDD),Adopt,Techniques,TRUE,
Bounded low-code platforms,Investigate,Techniques,TRUE,
Micro frontend anarchy,Hold,Techniques,TRUE,
Lambda overuse,Deprecate,Techniques,TRUE,
Design Patterns,Adopt,Techniques,TRUE,
Chaos Engineering,Investigate,Techniques,TRUE,
Event Storming,Investigate,Techniques,TRUE,
Trunk based development,Adopt,Techniques,TRUE,
Feature branching,Adopt,Techniques,TRUE,
Focus on mean time to recovery,Adopt,Techniques,TRUE,
Four key metrics,Adopt,Techniques,TRUE,
Health check pages,Adopt,Techniques,TRUE,
Infrastructure as code,Adopt,Techniques,TRUE,
Lightweight Architecture Decision Records,Adopt,Techniques,TRUE,
Micro frontends,Adopt,Techniques,TRUE,
Microservice envy,Deprecate,Techniques,TRUE,
OWASP Top 10,Adopt,Techniques,TRUE,
Pipelines as code,Adopt,Techniques,TRUE,
Polyglot programming,Adopt,Techniques,TRUE,
Collaborative programming,Adopt,Techniques,TRUE,
Reactive programming,Adopt,Techniques,TRUE,
Release train,Deprecate,Techniques,TRUE,
Run cost as architecture fitness function,Adopt,Techniques,TRUE,
Secrets as a service,Investigate,Techniques,TRUE,
SOLID Principles,Adopt,Techniques,TRUE,
Test Driven Development (TDD),Adopt,Techniques,TRUE,
"Use ""remote native"" processes and approaches",Adopt,Techniques,TRUE,
AWS Fargate,Adopt,Platforms,TRUE,
AWS,Adopt,Platforms,TRUE,
Azure DevOps,Hold,Platforms,TRUE,
EKS,Investigate,Platforms,TRUE,
Snowflake,Adopt,Platforms,TRUE,
AWS Api Gateway,Adopt,Platforms,TRUE,
AWS Lambda,Adopt,Platforms,TRUE,
Drupal,Hold,Platforms,TRUE,
Contentful,Investigate,Platforms,TRUE,
Docker,Adopt,Platforms,TRUE,
Elastic Search,Investigate,Platforms,TRUE,
Node.js,Adopt,Platforms,TRUE,
Jenkins,Hold,Platforms,TRUE,
ECS,Adopt,Platforms,TRUE,
DynamoDB,Investigate,Platforms,TRUE,
Cognito,Adopt,Platforms,TRUE,
TypeScript,Investigate,Languages & Frameworks,TRUE,
GraphQL,Investigate,Languages & Frameworks,TRUE,
AngularJS,Hold,Languages & Frameworks,TRUE,
React.js,Adopt,Languages & Frameworks,TRUE,
React Testing Library,Investigate,Languages & Frameworks,TRUE,
Next.js,Investigate,Languages & Frameworks,TRUE,
PHP,Hold,Languages & Frameworks,TRUE,
Python,Adopt,Languages & Frameworks,TRUE,
Clojure,Investigate,Languages & Frameworks,TRUE,
Tensorflow,Investigate,Languages & Frameworks,TRUE,
dot net core,Adopt,Languages & Frameworks,TRUE,
AWS CDK,Hold,Languages & Frameworks,TRUE,
Java,Adopt,Languages & Frameworks,TRUE,
Spring,Adopt,Languages & Frameworks,TRUE,
C#,Adopt,Languages & Frameworks,TRUE,
Specflow - For BDD (Gherkin),Adopt,Languages & Frameworks,TRUE,
.NET standard,Investigate,Languages & Frameworks,TRUE,
Cucumber,Investigate,Languages & Frameworks,TRUE,
Bash,Adopt,Languages & Frameworks,TRUE,
Pact,Adopt,Languages & Frameworks,TRUE,
quarkus,Adopt,Languages & Frameworks,TRUE,
terraform,Adopt,Languages & Frameworks,TRUE,
Cypress,Adopt,Tools,TRUE,
ESLint,Adopt,Tools,TRUE,
Figma,Adopt,Tools,TRUE,
Handwritten CloudFormation,Adopt,Tools,TRUE,
Headless Chrome for front-end test,Adopt,Tools,TRUE,
Headless Firefox,Adopt,Tools,TRUE,
Jaeger,Investigate,Tools,TRUE,
Terraform,Adopt,Tools,TRUE,
TestCafe,Adopt,Tools,TRUE,
Visual Studio Code,Adopt,Tools,TRUE,
Visual Studio Live Share,Adopt,Tools,TRUE,
Chaos Monkey,Investigate,Tools,TRUE,
Gatling,Adopt,Tools,TRUE,
GitHub,Adopt,Tools,TRUE,
GoCD,Adopt,Tools,TRUE,
Gradle,Investigate,Tools,TRUE,
OWASP Dependency-Check,Adopt,Tools,TRUE,
Pa11y,Adopt,Tools,TRUE,
Postman,Adopt,Tools,TRUE,
Sonar,Adopt,Tools,TRUE,
Swagger,Adopt,Tools,TRUE,
Tableau,Adopt,Tools,TRUE,
Talisman,Investigate,Tools,TRUE,
Gitleaks,Investigate,Tools,TRUE,
AWS X-Ray,Investigate,Tools,TRUE,
New Relic,Adopt,Tools,TRUE,
AWS Cloudwatch,Adopt,Tools,TRUE,
Rest Assured,Adopt,Tools,TRUE,
SonarQube,Investigate,Tools,TRUE,
Matillion,Investigate,Tools,TRUE,
Amazon Sagemaker,Investigate,Tools,TRUE,
SQL Server Integration Services,Adopt,Tools,TRUE,
SQL Server Analysis Services,Hold,Tools,TRUE,
SQL Server Reporting Services,Adopt,Tools,TRUE,
SQL Server Management Studio,Adopt,Tools,TRUE,
Stylecop,Investigate,Tools,TRUE,
NoSQL,Adopt,Tools,TRUE,
Mural,Adopt,Tools,TRUE,
Katalon Studio,Hold,Tools,TRUE,
Selenium - UI Testing,Hold,Tools,TRUE,
Redgate SQL Toolbelt,Adopt,Tools,TRUE,
Maven,Adopt,Tools,TRUE,
Confluence,Adopt,Tools,TRUE,
MySQL,Hold,Tools,TRUE,
PostgreSQL,Adopt,Tools,TRUE,
Earthly,Investigate,Tools,TRUE,
Ansible,Deprecate,Tools,TRUE,
Burp Suite,Investigate,Tools,TRUE,
